dataset,portfolio,model,alpha,test_loss_mean,test_loss_std,test_loss_count,coverage_error_mean,coverage_error_std,coverage_error_count,avg_exceedance_loss_mean,avg_exceedance_loss_std,avg_exceedance_loss_count,var_perm_mean_drift_mean,var_perm_mean_drift_std,var_perm_mean_drift_count,var_perm_max_drift_mean,var_perm_max_drift_std,var_perm_max_drift_count,es_perm_mean_drift_mean,es_perm_mean_drift_std,es_perm_mean_drift_count,es_perm_max_drift_mean,es_perm_max_drift_std,es_perm_max_drift_count,uc_p_value_mean,uc_p_value_std,uc_p_value_count,cc_p_value_mean,cc_p_value_std,cc_p_value_count,n_train_first,n_val_first,n_test_first,n_total_first,date_start_first,date_end_first
industry12,equal_weight,flatten_mlp,0.01,0.00035706739859343634,1.5982418264280152e-05,5,0.007991845056065238,0.004196583084049657,5,0.005984751973301172,0.00044732755198966087,5,0.005399191658943892,0.001048738477931961,5,0.23266818821430207,0.07492060984567347,5,0.00599451819434762,0.0010569178964242563,5,0.23121871650218964,0.07489541599271166,5,0.00044770986579683035,0.0009621276666917575,5,7.243351252128605e-10,1.0822989359305106e-09,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,equal_weight,flatten_mlp,0.05,0.0011047579583172685,1.1965730798368211e-05,5,0.027344546381243628,0.011914715118890444,5,0.005689680296927691,0.0002142884692509773,5,0.003757432335987687,0.0003923035398957199,5,0.06329047679901123,0.015237939472295884,5,0.004882003273814916,0.0005470378875869592,5,0.12086403369903564,0.044837634052100214,5,2.1774790632811402e-07,4.868989565365553e-07,5,1.5432100042289676e-14,3.4507224730137094e-14,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,equal_weight,historical_sim,0.01,,,0,0.005306122448979591,,1,0.010674831944444442,,1,,,0,,,0,,,0,,,0,0.001954461494417914,,1,1.260886877352263e-06,,1,,,3920,26130,,
industry12,equal_weight,historical_sim,0.05,,,0,0.002551020408163261,,1,0.009120827265372168,,1,,,0,,,0,,,0,,,0,0.46718810181744264,,1,1.2461870963154098e-05,,1,,,3920,26130,,
industry12,equal_weight,set_attention,0.01,0.00033030149174562704,1.2553308811609041e-05,5,0.0011865443425076454,0.000676608144188389,5,0.00584525503218174,0.00036192794150832037,5,8.046683874773919e-10,2.165566070095116e-11,5,4.470348358154297e-08,1.0536712127723509e-08,5,1.1575580050049438e-09,9.75916972678789e-11,5,4.76837158203125e-08,1.2467205919833117e-08,5,0.3580349283256563,0.3060565250071284,5,0.07631972037108758,0.08672953682719911,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,equal_weight,set_attention,0.05,0.0009569724402143587,2.189219694943402e-05,5,0.00699796126401631,0.009144436149796277,5,0.004877504892647266,0.00029185207089034654,5,4.883995097237914e-10,2.4655427750277355e-11,5,1.7881393432617187e-08,4.080851059445487e-09,5,7.973170346176062e-10,4.501290616750581e-11,5,2.0861625671386717e-08,8.161702118890974e-09,5,0.214883840692573,0.21149157093684798,5,0.19958940411254245,0.28679636460458735,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,vol_scaled,flatten_mlp,0.01,0.00035105423611863143,1.2796667526628519e-05,5,0.011075433231396533,0.005624305737130161,5,0.005851883161813021,0.0005063232269221012,5,0.004502894822508097,0.0004118449049305018,5,0.2634150817990303,0.10933679183154862,5,0.005366359930485487,0.00045116447022942164,5,0.2610155463218689,0.10944859654704704,5,4.026386944078197e-06,8.605779996361878e-06,5,8.637535131583718e-15,1.9314115712263785e-14,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,vol_scaled,flatten_mlp,0.05,0.0010525795667898383,1.7212289821109766e-05,5,0.029689092762487258,0.01283939662233563,5,0.005222399067133665,0.0001303283167462392,5,0.004118666984140873,0.0005162360411126626,5,0.09981698393821717,0.03441122044737803,5,0.005092559196054935,0.0007105359949736708,5,0.115255106985569,0.05440638646901329,5,2.7777081810231865e-07,6.211144314425135e-07,5,1.1541949174187493e-09,2.5808582946330797e-09,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,vol_scaled,historical_sim,0.01,,,0,0.00607142857142857,,1,0.009760063696086506,,1,,,0,,,0,,,0,,,0,0.0004462227600792179,,1,4.704565701452168e-06,,1,,,3920,26130,,
industry12,vol_scaled,historical_sim,0.05,,,0,0.0017857142857142863,,1,0.008932864114424576,,1,,,0,,,0,,,0,,,0,0.6099539530694428,,1,7.507760821146015e-05,,1,,,3920,26130,,
industry12,vol_scaled,set_attention,0.01,0.0003288837249956125,2.976306982267183e-06,5,0.0029439347604485223,0.0026200573391889637,5,0.00614760247990489,0.0007228888571151673,5,8.316981214839814e-10,8.137524298719038e-11,5,4.76837158203125e-08,1.2467205919833117e-08,5,1.2452625597347833e-09,9.552946884412584e-11,5,5.3644180297851564e-08,2.2598729860936254e-08,5,0.15947456122325832,0.15565808438850257,5,0.16997460520221297,0.23719729485610566,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry12,vol_scaled,set_attention,0.05,0.00093600573791922,2.6069935330013467e-05,5,0.01760958205912334,0.009527052598696337,5,0.004342896118760109,0.00025481619714778843,5,4.876116066476755e-10,4.46417169278969e-11,5,2.2351741790771484e-08,7.450580596923828e-09,5,7.665602264061988e-10,1.0114333375661827e-10,5,2.384185791015625e-08,6.2336029599165586e-09,5,0.0027064063519824932,0.006032918207534394,5,0.005487963272213059,0.01216994515276156,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry49,equal_weight,flatten_mlp,0.01,0.0004050435859529125,1.9261989201536033e-05,5,0.015560652395514778,0.004004750981927753,5,0.005973852798342704,0.0006340357299788349,5,0.00348720857873559,0.0009756873713667305,5,0.08049891442060471,0.017604506463818528,5,0.005577430920675397,0.0016641141557549868,5,0.091244987398386,0.02231874029715508,5,4.440892098500626e-16,9.93013661298909e-16,5,0.0,0.0,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry49,equal_weight,flatten_mlp,0.05,0.0011359621694256438,1.1952712824315892e-05,5,0.022477064220183484,0.004120449156713873,5,0.006242389976978302,0.0001653700680613877,5,0.004160086298361421,0.000542375186921232,5,0.08568615466356277,0.030176860798680892,5,0.005448007490485907,0.00039023499458326947,5,0.12732115387916565,0.03343187645841813,5,1.2776446567386301e-12,2.742618034530187e-12,5,0.0,0.0,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry49,equal_weight,historical_sim,0.01,,,0,0.004540816326530611,,1,0.011535897959183672,,1,,,0,,,0,,,0,,,0,0.007452793736642649,,1,1.8395263923220995e-07,,1,,,3920,26130,,
industry49,equal_weight,historical_sim,0.05,,,0,0.0015306122448979567,,1,0.009352138815922407,,1,,,0,,,0,,,0,,,0,0.6616713988229485,,1,0.0033450596952881995,,1,,,3920,26130,,
industry49,equal_weight,set_attention,0.01,0.0003459959584689404,6.19104395923742e-06,5,0.0042711518858307845,0.0020956784153158157,5,0.00577131574973464,0.0003416805742561795,5,9.60600599064776e-10,8.096885358485863e-11,5,4.917383193969726e-08,1.6323404237781944e-08,5,1.4325710839813154e-09,1.3026412717342416e-10,5,5.066394805908203e-08,1.3328003749250112e-08,5,0.01282082012528496,0.015333218507650643,5,0.0023072968786340907,0.005009979913057622,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry49,equal_weight,set_attention,0.05,0.0009528646761813522,1.454631496455092e-05,5,0.01105504587155963,0.005578985513703229,5,0.005081882886588574,0.0004245211696762114,5,5.272094094621593e-10,3.302179303672814e-11,5,3.129243850708008e-08,1.105099691017816e-08,5,8.133741902227598e-10,3.685620221474728e-11,5,3.2782554626464846e-08,1.2467205919833117e-08,5,0.03792216469552545,0.08463013364607136,5,0.04915024217790966,0.10988170062965293,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry49,vol_scaled,flatten_mlp,0.01,0.00039227624903762933,1.1370242396835507e-05,5,0.014388379204892965,0.006418402012390243,5,0.0059428202919662,0.0006217985139872014,5,0.004501615511253476,0.0018665864751939028,5,0.09689669013023376,0.025712029258398397,5,0.0070863403379917145,0.0027786399292608352,5,0.10195517539978027,0.019534837462105194,5,3.796962744218036e-15,8.183480950830537e-15,5,0.0,0.0,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry49,vol_scaled,flatten_mlp,0.05,0.0011375028469621617,4.075239803916376e-05,5,0.020310907237512738,0.010517212239076125,5,0.006539149675518274,0.0003278456107347215,5,0.004294465715065599,0.0008777507933953081,5,0.08373868465423584,0.025056898937178867,5,0.006487760227173567,0.0012358657082853107,5,0.17952606976032257,0.0672725595102686,5,0.00038536620755864616,0.0008096669487653088,5,1.7447154831984335e-12,3.901302421828089e-12,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry49,vol_scaled,historical_sim,0.01,,,0,0.004540816326530611,,1,0.011092358529059565,,1,,,0,,,0,,,0,,,0,0.007452793736642649,,1,2.0819535476723772e-05,,1,,,3920,26130,,
industry49,vol_scaled,historical_sim,0.05,,,0,0.002040816326530609,,1,0.008783269277430783,,1,,,0,,,0,,,0,,,0,0.5601904004573421,,1,0.0006543501205774627,,1,,,3920,26130,,
industry49,vol_scaled,set_attention,0.01,0.0003286032734481973,7.30966915750599e-06,5,0.0025127420998980634,0.0011898692691058872,5,0.0060792618431150915,0.0005456171937159375,5,9.368200992732057e-10,7.336305008519694e-11,5,6.556510925292969e-08,3.089970551927048e-08,5,1.3630185868862554e-09,7.914241824801165e-11,5,6.556510925292969e-08,3.089970551927048e-08,5,0.10040969267312652,0.1141170616217231,5,0.05705154596684758,0.062418364871860116,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
industry49,vol_scaled,set_attention,0.05,0.0009270411651205578,2.0880348104069434e-05,5,0.020897043832823647,0.008290985868538114,5,0.004695059731602669,0.0002102471252993979,5,5.044041684332256e-10,5.05142235834488e-11,5,2.8312206268310546e-08,3.3320009373125284e-09,5,7.657042777609036e-10,9.977303898021797e-11,5,2.8312206268310546e-08,3.3320009373125284e-09,5,6.728946865774965e-06,1.5046365065290753e-05,5,3.5615917386322415e-05,7.963955357515464e-05,5,36624.0,7848.0,7848,52320,1926-07-01,2026-02-27
