dataset,portfolio,alpha,model,test_loss,coverage_rate,coverage_error,avg_exceedance_loss,mean_var,mean_es,var_perm_mean_drift,var_perm_median_drift,var_perm_max_drift,es_perm_mean_drift,es_perm_median_drift,es_perm_max_drift,n_perm,lookback,vol_lookback,min_assets,batch_size,seed,has_metrics,has_permutation_test,run_dir,mean_y,std_y
industry12,equal_weight,0.01,flatten_mlp,0.0003352509309546253,0.013634046890927625,0.0036340468909276252,0.005564720369875431,-0.0234011672437191,-0.026266278699040413,0.004648631904274225,0.0023186001926660538,0.1368306279182434,0.004983068909496069,0.0026565087027847767,0.13677912950515747,20,60,20,5,256,42,True,True,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.01,0.0005456210346892476,0.011694022454321384
industry12,equal_weight,0.01,set_attention,0.00031390583951255947,0.011595310907237514,0.0015953109072375134,0.0054826498962938786,-0.022748755291104317,-0.027603192254900932,7.797631429440344e-10,0.0,4.470348358154297e-08,1.155353812620774e-09,0.0,2.9802322387695312e-08,20,60,20,5,256,42,True,True,artifacts\industry12__equal_weight__set_attention__alpha_0.01,0.0005456210346892476,0.011694022454321384
industry12,vol_scaled,0.01,flatten_mlp,0.0003492999574770936,0.016055045871559634,0.006055045871559634,0.006685208063572645,-0.02108919247984886,-0.024696998298168182,0.004210073500871658,0.0019626477733254433,0.3399495780467987,0.00513828918337822,0.0026638181880116463,0.3367575407028198,20,60,20,5,256,42,True,True,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.01,0.0005561831640079618,0.011180025525391102
industry12,vol_scaled,0.01,set_attention,0.00032551582783050495,0.011085626911314985,0.0010856269113149845,0.005591139197349548,-0.02449945919215679,-0.03037777543067932,9.252347776822489e-10,0.0,2.9802322387695312e-08,1.3051569824895637e-09,0.0,2.9802322387695312e-08,20,60,20,5,256,42,True,True,artifacts\industry12__vol_scaled__set_attention__alpha_0.01,0.0005561831640079618,0.011180025525391102
industry49,equal_weight,0.01,flatten_mlp,0.0003977969623060193,0.020132517838939858,0.010132517838939857,0.006137907970696688,-0.023237410932779312,-0.02992592751979828,0.004759291186928749,0.0023947698064148426,0.08834867179393768,0.007257877383381128,0.005744249559938908,0.0860409289598465,20,60,20,5,256,42,True,True,artifacts\industry49__equal_weight__flatten_mlp__alpha_0.01,0.0005638907314278185,0.011967770755290985
industry49,equal_weight,0.01,set_attention,0.00034454170515747486,0.017074413863404688,0.007074413863404688,0.005417475011199713,-0.02279486134648323,-0.028772354125976562,8.251188066132897e-10,0.0,5.960464477539063e-08,1.2917531488909617e-09,0.0,5.960464477539063e-08,20,60,20,5,256,42,True,True,artifacts\industry49__equal_weight__set_attention__alpha_0.01,0.0005638907314278185,0.011967770755290985
industry49,vol_scaled,0.01,flatten_mlp,0.0003824811276294306,0.02204383282364934,0.012043832823649339,0.005698340013623238,-0.021878905594348907,-0.02809431590139866,0.004754877649247646,0.0034687910228967667,0.05392344668507576,0.009252610616385937,0.007704154588282108,0.07781660556793213,20,60,20,5,256,42,True,True,artifacts\industry49__vol_scaled__flatten_mlp__alpha_0.01,0.0005633484688587487,0.011412269435822964
industry49,vol_scaled,0.01,set_attention,0.0003334866282418579,0.01134046890927625,0.001340468909276249,0.006486987229436636,-0.02300698682665825,-0.02974778413772583,8.390210193276459e-10,0.0,4.470348358154297e-08,1.2363698953521407e-09,0.0,4.470348358154297e-08,20,60,20,5,256,42,True,True,artifacts\industry49__vol_scaled__set_attention__alpha_0.01,0.0005633484688587487,0.011412269435822964
industry12,equal_weight,0.05,flatten_mlp,0.0010846615154851535,0.06243628950050968,0.012436289500509679,0.005757091101258993,-0.013492625206708908,-0.017515413463115692,0.0004137484065722674,3.99775145967237e-16,0.43023428320884705,0.0011149747297167778,1.462522831519649e-14,0.96454256772995,20,60,20,5,256,42,True,True,artifacts\industry12__equal_weight__flatten_mlp__alpha_0.05,0.0005456210346892476,0.011694022454321384
industry12,equal_weight,0.05,set_attention,0.0009696793647660522,0.05389908256880734,0.0038990825688073397,0.005202850326895714,-0.012832402251660824,-0.017664268612861633,4.725839164443357e-10,0.0,1.4901161193847656e-08,8.070135670834588e-10,0.0,1.4901161193847656e-08,20,60,20,5,256,42,True,True,artifacts\industry12__equal_weight__set_attention__alpha_0.05,0.0005456210346892476,0.011694022454321384
industry12,vol_scaled,0.05,flatten_mlp,0.0010614426776070895,0.07492354740061162,0.024923547400611618,0.005400640424340963,-0.012098086066544056,-0.01638481765985489,0.00374542735517025,0.0024385442957282066,0.09554313123226166,0.004875912331044674,0.003154411679133773,0.09530617296695709,20,60,20,5,256,42,True,True,artifacts\industry12__vol_scaled__flatten_mlp__alpha_0.05,0.0005561831640079618,0.011180025525391102
industry12,vol_scaled,0.05,set_attention,0.0009649487756521163,0.0704638124362895,0.020463812436289502,0.004026057664304972,-0.012772663496434689,-0.017011776566505432,5.149862203346345e-10,0.0,1.4901161193847656e-08,8.687069952273418e-10,0.0,2.2351741790771484e-08,20,60,20,5,256,42,True,True,artifacts\industry12__vol_scaled__set_attention__alpha_0.05,0.0005561831640079618,0.011180025525391102
industry49,equal_weight,0.05,flatten_mlp,0.0011324421499683032,0.06778797145769623,0.017787971457696228,0.006383862812072039,-0.012505993247032166,-0.014688386581838131,0.004069474060088396,0.0030459363479167223,0.08081773668527603,0.004885450005531311,0.0035744523629546165,0.0876283347606659,20,60,20,5,256,42,True,True,artifacts\industry49__equal_weight__flatten_mlp__alpha_0.05,0.0005638907314278185,0.011967770755290985
industry49,equal_weight,0.05,set_attention,0.0009665061635103847,0.06715086646279307,0.01715086646279307,0.0045911273919045925,-0.012245580554008484,-0.015968898311257362,5.032120831138798e-10,0.0,2.9802322387695312e-08,7.907580146238047e-10,0.0,4.470348358154297e-08,20,60,20,5,256,42,True,True,artifacts\industry49__equal_weight__set_attention__alpha_0.05,0.0005638907314278185,0.011967770755290985
industry49,vol_scaled,0.05,flatten_mlp,0.0010987615983441442,0.07785423037716616,0.027854230377166153,0.006029720883816481,-0.01140034943819046,-0.013966917060315609,0.003606827463954687,0.002615086268633604,0.09955760836601257,0.004740394186228514,0.0033329010475426912,0.17672526836395264,20,60,20,5,256,42,True,True,artifacts\industry49__vol_scaled__flatten_mlp__alpha_0.05,0.0005633484688587487,0.011412269435822964
industry49,vol_scaled,0.05,set_attention,0.000924070346146389,0.08295107033639144,0.03295107033639144,0.0044420016929507256,-0.010215549729764462,-0.013110469095408916,4.3799877613714955e-10,0.0,2.9802322387695312e-08,6.496881366224727e-10,0.0,2.9802322387695312e-08,20,60,20,5,256,42,True,True,artifacts\industry49__vol_scaled__set_attention__alpha_0.05,0.0005633484688587487,0.011412269435822964
